,indice,Id_producto,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
587,587,41ec106c-8c55-4ec7-8acf-8c671907d7ec,Long Cardigan real ,141f32d6-a5af-49bf-b019-fd28354977f1,BRAND162,NO_MAINSTREAM,9,blue_dark,00008b,cardigan,1,warm_season,smooth,classic,straight,freetime,2
588,588,c01225b2-7c44-491d-a978-fc3e786f656f,Chambray Shirt collar ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND83,MAINSTREAM,9,blue_light,87CEFA,shirt,2,warm_season,smooth,classic,straight,work,2
589,589,908d6294-3b3b-4e3b-a131-006f50779107,Objbay Shirt zigzag,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND101,NO_MAINSTREAM,9,beige,DFC8B2,blouse,2,warm_season,geometric,classic,loose,work,2
590,590,2dc6438d-c870-408b-93d6-1f8e4475f79d,Arianne Top cerise,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND15,WHOLE_SALE,9,white,FFFFFF,tops,2,warm,smooth,boho,straight,freetime,2
591,591,0373bba2-9fd5-4775-a309-ec41bdc8f025,Onlmirinda Pant basic ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND119,MAINSTREAM,9,khaki,666633,,2,warm_season,smooth,boho,tight,freetime,1
592,592,2527777b-e5f2-45db-81cc-174fc2b28791,Ihafilikke Top print ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND89,MAINSTREAM,9,blue_dark,00008b,tops,3,warm,floral,boho,straight,freetime,2
593,593,a5391cc0-a013-4be0-a754-ca231276fde3,Indo Pant printed ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND60,WHOLE_SALE,9,green_dark,164A0A,,3,warm,retro,boho,straight,freetime,1
594,594,79139595-80b1-4151-be8c-c2b94b8b318b,Amanda Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND132,NO_MAINSTREAM,9,white,FFFFFF,,2,warm,smooth,casual,straight,freetime,1
595,595,79139595-80b1-4151-be8c-c2b94b8b318b,Amanda Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND132,NO_MAINSTREAM,9,khaki,666633,,2,warm,smooth,casual,straight,freetime,1
596,596,79139595-80b1-4151-be8c-c2b94b8b318b,Amanda Short woven ,9c5a3fee-dad0-444a-acb3-c059e2f3db20,BRAND132,NO_MAINSTREAM,9,mandarine,faaa6e,,2,warm,smooth,casual,straight,freetime,1
